Informazioni cronologiche,Genere ,Età,Grado di istruzione ,Quanto tempo trascorri in media giocando ai videogiochi ogni giorno?,Quale stile di videogioco preferisci di più?,"Se hai premuto ""Altro"" rispondi qui ",Credi che i videogiochi siano una forma d'arte?,"Se hai premuto ""Dipende"" puoi specificare qui",C’è un videogioco che ti ha insegnato qualcosa di utile per la tua formazione scolastica e professionale?”  ,Se hai premuto “Sì” scrivi quale videogioco ti è stato più utile ,"
Qual è il dispositivo che preferisci utilizzare per giocare?","Se hai premuto ""Altro"" rispondi qui ","
Quali videogiochi ritieni ti abbiano arricchito culturalmente riguardo alla mitologia o alla storia?","Se hai premuto ""Altro"" rispondi qui ",Pensi che sia possibile utilizzare i videogiochi che non sono stati concepiti per scopi didattici come strumenti formativi?,"Se hai premuto ""Dipende"" puoi specificare qui","
Credi che i videogiochi online possano facilitare la connessione tra le persone e offrire un'alternativa alla socialità tradizionale?","Sei hai premuto ""Dipende"" puoi specificare qui ",Hai mai pensato di creare un gioco?,"Pensi che un videogioco ti abbia ispirato ad approfondire conoscenze su un argomento ( per esempio letterario, culturale, storico, sociale, scientifico, artistico, o ecc.) ?","Hai mai imparato un'altra lingua o migliorato le tue competenze linguistiche grazie ai videogiochi, sia online che in modalità single player?",Sei hai premuto Altro specifica qui,"Secondo te, è possibile paragonare l'importanza narrativa di un videogioco a quella di media più tradizionali come libri, film o prodotti di animazione?  ",Credi che i videogiochi ti abbiano insegnato a risolvere problemi in modo creativo e originale (problem solving)?,Pratichi attività fisica ?,"Pensi che gli Esport (Sport elettronici) possano essere considerati una pratica professionale (ad esempio, league of legends, counter-strike, street fighter,  StarCraft,  Assetto corsa) ?","Hai migliorato le tue abilità sociali grazie ai videogiochi? (ad esempio comunicazione, espressione, empatia ecc.)",Frequenti amici che non usano videogiochi o preferisci la compagnia di chi condivide come te questa passione?
28/02/2024 18.59.13,Uomo,Generazione Z (1995-2010),Diploma o licenza superiore,Meno di un’ora,Single player,,Dipende (specifica),Molti sì ma altri sono proprio inutili,Non saprei,,"Console, PC, Smartphone /Tablet",,Nessuno,,Si,,No,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 19.15.03,Donna,Generazione Z (1995-2010),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si tutti i giorni,Si,Si,Non ho preferenze
28/02/2024 19.16.52,Uomo,Millennials (1980-1994),licenza media,4-6 ore,Altro,"Co-Op, single player ",Si,,Si,Ovviamente Assassins Creed,Console,,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,No,No,Non ho preferenze
28/02/2024 19.19.30,Uomo,Millennials (1980-1994),Diploma o licenza superiore,Non gioco regolarmente,Single player,,Si,,Non saprei,,PC,,"Assassin's creed (saga), Altro (specifica)","Call of Duty, Sniper Elite",Si,,Mi astengo dal giudizio,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,
28/02/2024 19.22.14,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,,"Console, PC, VR",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Hades, Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising, Altro (specifica)",Okami,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 19.23.33,Uomo,Generazione X (1965-1980),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Non saprei,,"Console, Cloud, Smartphone /Tablet",,"Assassin's creed (saga), Age of Empire",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 19.24.26,Uomo,Millennials (1981-1996),Diploma o licenza superiore,4-6 ore,Single player,,Si,,Si,Dark souls ,Console,,"Assassin's creed (saga), God of War (saga Greca)",,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,No,Non ho preferenze
28/02/2024 19.26.57,Uomo,Generazione Z (1997-2012),Laurea o superiore,7>,Entrambi,,Si,,Si,,"Console, PC, VR",,"Assassin's creed (saga), God of War (saga Greca), Hades, Sid Meier's Civilization, Ryse son of rome, Immortals fenyx rising",,Si,,Si,,L'ho fatto,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 19.29.47,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,Console,,Altro (specifica),Shooter ,Si,,Si,,No,No,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,No,Si,Preferisco la compagnia di chi videogioca
28/02/2024 19.31.09,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,Non gioco regolarmente,Entrambi,,Si,,Si,Assassin’s creed è troppo scontata come risposta?,"Console, PC",,"Assassin's creed (saga), God of War (saga Greca), God of war (saga norrena), Age of Empire, Ryse son of rome",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Mai o quasi mai,Si,Si,Non ho preferenze
28/02/2024 19.31.45,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,2-3 ore,Single player,,Si,,Si,Assassin’s creed unity,"Console, Console portatili",,Assassin's creed (saga),,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Meno di una volta a settimana,Si,No,Non ho preferenze
28/02/2024 19.41.40,Donna,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Non saprei,,"Console, PC",,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,Si,No,Mai o quasi mai,Si,Si,Preferisco la compagnia di chi videogioca
28/02/2024 19.42.33,Uomo,Millennials (1981-1996),Diploma o licenza superiore,7>,Entrambi,,Si,,Si,Ci sono stati degli multiplayer dove ti insegna di coordinare con la squadra - questo puo' essere un skill che puoi anche usare nell'ambito lavorativo,"Console, Console portatili, PC, VR, Smartphone /Tablet",,"Hades, Sid Meier's Civilization, Altro (specifica)",dante's inferno (psp),Dipende (Specifica),dipende sempre dalla tipologia/categoria di gioco,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Meno di una volta a settimana,Si,Si,Non ho preferenze
28/02/2024 19.43.21,Donna,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Non saprei,,Console,,"Assassin's creed (saga), God of war (saga norrena)",,Si,,Si,,No,Si,Ho potenziato le conoscenze di un altra lingua,,No,Si,Si ogni settimana,Si,No,Preferisco la compagnia di chi videogioca
28/02/2024 19.46.21,Uomo,Generazione Z (1997-2012),Diploma o licenza superiore,7>,Multiplayer Online,,Si,,Si,"Minecraft, esso è un gioco dove puoi imparare i minerali, come si lavorano, creatività e educazione.","PC, Smartphone /Tablet",,Altro (specifica),Minecraft,Si,,Si,,No,Si,Si ho imparato un'altra lingua,,Si,Si,Mai o quasi mai,No,Si,Non ho preferenze
28/02/2024 19.47.38,Uomo,Millennials (1981-1996),Diploma o licenza superiore,2-3 ore,Entrambi,,Si,,Si,Minecraft,PC,,Assassin's creed (saga),,Si,,Si,,Si,Si,Ho potenziato le conoscenze di un altra lingua,,Si,Si,Si ogni settimana,Si,Si,Non ho preferenze
28/02/2024 19.52.48,Uomo,Generazione Z (1997-2012),Laurea o superiore,4-6 ore,Entrambi,,Si,,Si,Pokemon ,PC,,"Assassin's creed (saga), God of war (saga norrena), Hades, Altro (specifica)",,Si,,Si,,Si,Si,Si ho imparato un'altra lingua,,Si,Si,Si ogni settimana,Si,Si,Preferisco la compagnia di chi videogioca
